winery,wine,year,calificacion,num_resenas,pais,region,precio,tipo,cuerpo,acidez
Cepa 21,Horcajo,2015,46,100,Espana,Ribera del Duero,753,Ribera del Duero Tinto,50,30
Carmelo Rodero,Pago De Valtarrena,2018,46,99,Espana,Ribera del Duero,475,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico,2012,46,98,Espana,Ribera del Duero,3599,Ribera del Duero Tinto,50,30
Bodegas Vilano,Tinto,2019,46,97,Espana,Ribera del Duero,435,Ribera del Duero Tinto,50,30
Allende,Aurus,2005,46,95,Espana,Rioja,1360,Rioja Tinto,40,30
Costers del Siurana,Dolc de L'Obac,2006,46,94,Espana,Priorato,"1,17239E+14",D.O. Priorato,#¡REF!,#¡REF!
Pago de Los Capellanes,Parcela El Picon Tinto,2011,46,93,Espana,Ribera del Duero,1350,Ribera del Duero Tinto,50,30
Remirez de Ganuza,Trasnocho,2013,46,91,Espana,Rioja,825,Rioja Tinto,40,30
Bodegas Roda,Cirsion Rioja,2017,46,90,Espana,Rioja,1499,Rioja Tinto,40,30
Teso La Monja,Tinto,2008,46,87,Espana,Toro,12600,Toro Tinto,50,30
Pago de Los Capellanes,Doroteo Edicion Especial 25 Aniversario,2015,46,86,Espana,Ribera del Duero,590,Ribera del Duero Tinto,50,30
Bodegas Valduero,Tierra Alta de 2 Racimos Gran Reserva,2011,46,85,Espana,Ribera del Duero,825,Ribera del Duero Tinto,50,30
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2011,46,85,Espana,Rioja,1950,Rioja Tinto,40,30
Vega Sicilia,Valbuena 5o,1980,46,84,Espana,Ribera del Duero,1950,Ribera del Duero Tinto,50,30
Arzuaga,Reserva Especial Ribera del Duero,2016,46,83,Espana,Ribera del Duero,545,Ribera del Duero Tinto,50,30
Hacienda Monasterio,Reserva Especial,2015,46,80,Espana,Ribera del Duero,791,Ribera del Duero Tinto,50,30
Mas d'en Gil,Gran Buig Priorat,2004,46,79,Espana,Priorato,2720,Priorat Tinto,40,30
Castillo Perelada,Finca Garbet,2014,46,75,Espana,Emporda,990,Syrah,40,30
Osborne,Solera India Oloroso Rare Sherry,N.V.,46,74,Espana,Jerez-Xeres-Sherry,18999,Jerez,40,30
Emilio Moro,Clon De La Familia,2011,46,72,Espana,Ribera del Duero,31763,Ribera del Duero Tinto,50,30
Sierra Cantabria,Amancio,2007,46,70,Espana,Rioja,3996,Rioja Tinto,40,30
Toro Albala,Gines Liebana Pedro Ximenez,1910,46,70,Espana,Montilla-Moriles,70105,Pedro Ximenez,50,10
Recaredo,Reserva Particular de Recaredo Brut Nature,2008,46,69,Espana,Cava,749,Cava,20,30
Clos Erasmus,Priorat,2008,46,66,Espana,Priorato,65431,Priorat Tinto,40,30
Vega Sicilia,Valbuena 5o,1983,46,66,Espana,Ribera del Duero,24775,Ribera del Duero Tinto,50,30
Toro Albala,Don PX Seleccion,1965,46,65,Espana,Montilla-Moriles,14499,Pedro Ximenez,50,10
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2001,46,65,Espana,Priorato,9450,Priorat Tinto,40,30
Hacienda Monasterio,Reserva,2017,46,64,Espana,Ribera del Duero,500,Ribera del Duero Tinto,50,30
Ysios,Finca Las Naves,2016,46,63,Espana,Rioja,12664,Rioja Tinto,40,30
Marques de Grinon,AAA,2008,46,63,Espana,Dominio de Valdepusa,16238,Tinto,40,30
Contino,Vina del Olivo,2001,46,60,Espana,Rioja,810,Rioja Tinto,40,30
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2010,46,60,Espana,Priorato,27500,Priorat Tinto,40,30
Marques de Murrieta,Dalmau Rioja,2001,46,59,Espana,Rioja,1210,Rioja Tinto,40,30
Alvaro Palacios,Les Aubaguetes Priorat,2016,46,59,Espana,Priorato,35595,Priorat Tinto,40,30
Gramona,Cava Enoteca Finca La Plana Brut Nature,2001,46,58,Espana,Cava,16466,Cava,20,30
Alto Moncayo,Aquilon Garnacha,2016,46,58,Espana,Campo de Borja,1209,Garnacha,50,30
Dominio del Aguila,Gran Reserva Penas Aladas,2014,46,58,Espana,Ribera del Duero,2189,Ribera del Duero Tinto,50,30
Hacienda Solano,Pena Lobera,2016,46,57,Espana,Ribera del Duero,6595,Ribera del Duero Tinto,50,30
Bodegas Mas Alta,La Creu Alta,2014,46,53,Espana,Priorato,860,Priorat Tinto,40,30
Francisco Garcia Perez,Adega do Moucho Treixadura,2017,46,53,Espana,Ribeiro,345,D.O. Ribeiro.,#¡REF!,#¡REF!
Anima Negra,Son Negre,2007,46,51,Espana,Mallorca,28265,Tinto,40,30
Mas Doix,1902 Centenary Carignan Priorat,2017,46,51,Espana,Priorato,2599,Priorat Tinto,40,30
Vega Sicilia,Unico,1961,46,50,Espana,Ribera del Duero,109928,Ribera del Duero Tinto,50,30
Castano,Casa Cisca Monastrell,2016,46,49,Espana,Yecla,350,Monastrell,50,30
Descendientes de J. Palacios,Moncerbal Bierzo (Corullon),2016,46,48,Espana,Bierzo,26995,Mencia,30,30
La Legua,Capricho,2014,46,47,Espana,Cigales,272693427,Tinto,40,30
Dominio de Pingus,Pingus,2018,46,47,Espana,Ribera del Duero,12500,Ribera del Duero Tinto,50,30
Castillo de Cuzcurrita,Cerrado del Castillo Rioja,2016,46,47,Espana,Rioja,5295,Rioja Tinto,40,30
Oxer Wines,Kalamity Rioja,2018,46,46,Espana,Rioja,11495,Rioja Tinto,40,30
Bodegas Yuste,Conde de Aldama Amontillado,N.V.,46,46,Espana,Jerez-Xeres-Sherry,899,Jerez,40,30
Vega Sicilia,Valbuena 5o,1979,46,46,Espana,Ribera del Duero,1950,Ribera del Duero Tinto,50,30
Bodegas 6o Elemento - Vino Sexto Elemento,Respeto,2015,46,45,Espana,Utiel-Requena,2935,Tinto,40,30
Proyecto Garnachas de Espana,El Garnacho Viejo de la Familia Acha,2014,46,45,Espana,Rioja,799,Rioja Tinto,40,30
Matarromera,Ribera del Duero Prestigio,2016,46,45,Espana,Ribera del Duero,5395,Ribera del Duero Tinto,50,30
Casal de Arman,Finca Misenhora Edicion Limitada,2018,46,44,Espana,Ribeiro,262,D.O. Ribeiro.,#¡REF!,#¡REF!
Mas Doix,1902 Centenary Carignan Priorat,2016,46,43,Espana,Priorato,27044,Priorat Tinto,40,30
Artadi,La Poza de Ballesteros,2009,46,42,Espana,Vino de Espana,1875,Tempranillo,40,20
Marques de Murrieta,Reserva Rioja (Finca Ygay),1954,46,42,Espana,Rioja,2100,Rioja Tinto,40,30
Hacienda Monasterio,Reserva Especial,2016,46,41,Espana,Ribera del Duero,8563,Ribera del Duero Tinto,50,30
Artadi,Vina El Pison,2017,46,41,Espana,Vino de Espana,30454,Tempranillo,40,20
Vall Llach,Idus,2020,46,41,Espana,Priorato,343,Priorat Tinto,40,30
Clos Erasmus,Priorat,2003,46,41,Espana,Priorato,99328,Priorat Tinto,40,30
Sierra Cantabria,Amancio,2017,46,40,Espana,Rioja,8595,Rioja Tinto,40,30
Pago de Larrainzar,Rosado de Larrainzar,2020,46,39,Espana,Navarra,120,Rosado,30,30
Emilio Moro,Clon De La Familia,2015,46,39,Espana,Ribera del Duero,2499,Ribera del Duero Tinto,50,30
Vega Sicilia,Unico Reserva Especial Edicion,1982,46,39,Espana,Ribera del Duero,123843,Ribera del Duero Tinto,50,30
Sierra Cantabria,Finca el Bosque,2002,46,38,Espana,Rioja,1280,Rioja Tinto,40,30
Descendientes de J. Palacios,Valdafoz Bierzo (Corullon),2011,46,38,Espana,Bierzo,1355,Mencia,30,30
Ukan Winery,Tinto,2019,46,38,Espana,Rioja Alavesa,405,Rioja Tinto,40,30
Finca Moncloa,Tintilla de Rota,2017,46,37,Espana,Cadiz,431,V.T. Cádiz,40,30
Bodegas Mas Alta,La Creu Alta,2017,46,36,Espana,Priorato,850,Priorat Tinto,40,30
Vina Real,Rioja Gran Reserva,1986,46,35,Espana,Rioja,1230,Rioja Tinto,40,30
Dominio de Atauta,Valdegatiles Ribera del Duero,2012,46,34,Espana,Ribera del Duero,10635,Ribera del Duero Tinto,50,30
Toro Albala,Don PX Seleccion,1962,46,34,Espana,Montilla-Moriles,2070,Pedro Ximenez,50,10
Micro Bio (MicroBio),Respublica Verdejo,2016,46,33,Espana,Vino de Espana,7595,Verdejo,30,30
Dominio del Aguila,Gran Reserva Penas Aladas,2015,46,33,Espana,Ribera del Duero,1853,Ribera del Duero Tinto,50,30
Terroir Al Limit Soc. Lda,Les Tosses,2016,46,33,Espana,Priorato,20595,Priorat Tinto,40,30
Finca Torremilanos,Torremilanos Coleccion Ribera del Duero,2016,46,32,Espana,Ribera del Duero,4045,Ribera del Duero Tinto,50,30
Artadi,El Carretil,2017,46,32,Espana,Vino de Espana,17689,Tempranillo,40,20
Huerta de Albala,Taberner No. 1,2013,46,32,Espana,Cadiz,799,Tinto,40,30
Gomez Cruzado,Vina Motulleri,2011,46,30,Espana,Rioja,790,Rioja Tinto,40,30
Castell d'Encus,Saktih,2013,46,30,Espana,Costers del Segre,19527,Tinto,40,30
Abadia Retuerta,Cuvee Palomar,2017,46,30,Espana,Sardon de Duero,589,Tinto,40,30
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2014,46,30,Espana,Priorato,16600,Priorat Tinto,40,30
Dominio de Atauta,Valdegatiles Ribera del Duero,2013,46,29,Espana,Ribera del Duero,1119,Ribera del Duero Tinto,50,30
Bodegas 6o Elemento - Vino Sexto Elemento,Respeto,2017,46,29,Espana,Utiel-Requena,2995,Tinto,40,30
Enate,Uno Tinto,2010,46,28,Espana,Somontano,1299,Tinto,40,30
Benjamin de Rothschild - Vega Sicilia,Macan,2017,46,28,Espana,Rioja,6995,Rioja Tinto,40,30
Mas Doix,1903 Centenary Grenache,2016,46,28,Espana,Priorato,2990,Priorat Tinto,40,30
Descendientes de J. Palacios,La Faraona Bierzo (Corullon),2010,46,28,Espana,Bierzo,311908,Tinto,40,30
Bodegas Aragonesas,Galiano Seleccion Especial,2013,46,28,Espana,Campo de Borja,9995,Tinto,40,30
Telmo Rodriguez,Molino Real,2016,46,28,Espana,Malaga,4169,D.O. Málaga ,30,30
Anima Negra,Son Negre,2004,46,27,Espana,Mallorca,37435,Tinto,40,30
Tomas Postigo,5o Ano Ribera del Duero Tinto,2017,46,27,Espana,Ribera del Duero,4645,Ribera del Duero Tinto,50,30
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2011,46,27,Espana,Priorato,27500,Priorat Tinto,40,30
Acustic Celler,Etern Vinyes Molt Velles,2016,46,26,Espana,Priorato,425,Priorat Tinto,40,30
Vina Pedrosa,40 Aniversario Gran Reserva,2012,46,25,Espana,Ribera del Duero,950,Ribera del Duero Tinto,50,30
Osborne,Solera BC-200,N.V.,46,25,Espana,Jerez-Xeres-Sherry,1973,Jerez,40,30
Recaredo,Corpinnat Enoteca Reserva Particular de Recaredo,2004,46,25,Espana,Cataluna,1300,Espumoso,20,30
Toro Albala,Don PX Pedro Ximenez,1968,46,25,Espana,Montilla-Moriles,1815,Pedro Ximenez,50,10
Pago de Carraovejas,Tinto,2016,45,7529,Espana,Ribera del Duero,298,Ribera del Duero Tinto,50,30
Alion,Ribera del Duero,2013,45,7435,Espana,Ribera del Duero,730,Ribera del Duero Tinto,50,30
Alion,Ribera del Duero,2014,45,7237,Espana,Ribera del Duero,5627,Ribera del Duero Tinto,50,30
Pintia,Toro,2014,45,5863,Espana,Toro,690,Toro Tinto,50,30
Pago de Carraovejas,Tinto,2018,45,5372,Espana,Ribera del Duero,450,Ribera del Duero Tinto,50,30
Alion,Ribera del Duero,2015,45,5365,Espana,Ribera del Duero,750,Ribera del Duero Tinto,50,30
Pintia,Toro,2015,45,4979,Espana,Toro,698,Toro Tinto,50,30
Pago de Carraovejas,Tinto,2017,45,4935,Espana,Ribera del Duero,"1,21937E+14",Ribera del Duero Tinto,50,30
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2016,45,4411,Espana,Ribera del Duero,7865,Ribera del Duero Tinto,50,30
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2005,45,3521,Espana,Rioja,4000,Rioja Tinto,40,30
La Rioja Alta,Gran Reserva 890,2005,45,3443,Espana,Rioja,1250,Rioja Tinto,40,30
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Tinto,2009,45,3148,Espana,Rioja,2290,Rioja Tinto,40,30
Pintia,Toro,2016,45,3118,Espana,Toro,4041,Toro Tinto,50,30
Dominio de Pingus,Flor de Pingus,2016,45,2887,Espana,Ribera del Duero,10194,Ribera del Duero Tinto,50,30
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2015,45,2858,Espana,Ribera del Duero,1725,Ribera del Duero Tinto,50,30
Bodegas El Nido,Clio,2015,45,2712,Espana,Jumilla,332,Tinto,40,30
Dominio de Pingus,Flor de Pingus,2014,45,2710,Espana,Ribera del Duero,1250,Ribera del Duero Tinto,50,30
Dominio de Pingus,Flor de Pingus,2010,45,2551,Espana,Ribera del Duero,1250,Ribera del Duero Tinto,50,30
Dominio de Pingus,Flor de Pingus,2015,45,2530,Espana,Ribera del Duero,1250,Ribera del Duero Tinto,50,30
Bodegas El Nido,Clio,2016,45,2228,Espana,Jumilla,3175,Tinto,40,30
Bodegas El Nido,Clio,2017,45,2220,Espana,Jumilla,395,Tinto,40,30
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2011,45,2207,Espana,Ribera del Duero,640,Ribera del Duero Tinto,50,30
Pago de Carraovejas,Tinto,2019,45,2144,Espana,Ribera del Duero,338,Ribera del Duero Tinto,50,30
Benjamin de Rothschild - Vega Sicilia,Macan,2014,45,1910,Espana,Rioja,5895,Rioja Tinto,40,30
Aalto,Tinto,2018,45,1864,Espana,Ribera del Duero,3325,Ribera del Duero Tinto,50,30
Bodegas El Nido,Clio,2018,45,1520,Espana,Jumilla,"6,18492E+14",Tinto,40,30
Alto Moncayo,Garnacha,2017,45,1503,Espana,Campo de Borja,4427,Garnacha,50,30
Pago de Los Capellanes,Parcela El Nogal Tinto,2015,45,1393,Espana,Ribera del Duero,459,Ribera del Duero Tinto,50,30
Vega Sicilia,Valbuena 5o,2003,45,1346,Espana,Ribera del Duero,2392,Ribera del Duero Tinto,50,30
Benjamin de Rothschild - Vega Sicilia,Macan,2015,45,1345,Espana,Rioja,689,Rioja Tinto,40,30
Alion,Ribera del Duero,2003,45,1236,Espana,Ribera del Duero,1640,Ribera del Duero Tinto,50,30
Belondrade,Belondrade y Lurton,2018,45,1192,Espana,Rueda,3285,Verdejo,30,30
Pago de Los Capellanes,Parcela El Nogal Tinto,2014,45,1163,Espana,Ribera del Duero,4095,Ribera del Duero Tinto,50,30
Pago de Carraovejas,Reserva,2014,45,1148,Espana,Ribera del Duero,"6,95803E+14",Ribera del Duero Tinto,50,30
Dominio de Pingus,Flor de Pingus,2017,45,1094,Espana,Ribera del Duero,1100,Ribera del Duero Tinto,50,30
Remirez de Ganuza,Rioja Reserva,2012,45,1089,Espana,Rioja,4975,Rioja Tinto,40,30
Muga,Prado Enea Gran Reserva,2014,45,1014,Espana,Rioja,510,Rioja Tinto,40,30
Remirez de Ganuza,Rioja Reserva,2011,45,1012,Espana,Rioja,599,Rioja Tinto,40,30
La Rioja Alta,Gran Reserva 890,2004,45,990,Espana,Rioja,2907,Rioja Tinto,40,30
Belondrade,Belondrade y Lurton,2019,45,961,Espana,Rueda,377,Verdejo,30,30
Clos Mogador,Priorat,2015,45,955,Espana,Priorato,14695,Priorat Tinto,40,30
Bodegas Tradicion,Pedro Ximenez Tradicion 20 Years Old Vos,N.V.,45,854,Espana,Jerez Pedro Ximenes (PX),689,Pedro Ximenez,50,10
Muga,Torre Muga,2016,45,838,Espana,Rioja,705,Rioja Tinto,40,30
Benjamin de Rothschild - Vega Sicilia,Macan,2016,45,813,Espana,Rioja,640,Rioja Tinto,40,30
Bodega Numanthia,Termanthia,2010,45,729,Espana,Toro,1680,Toro Tinto,50,30
Emilio Moro,Malleolus de Valderramiro,2011,45,719,Espana,Ribera del Duero,17395,Ribera del Duero Tinto,50,30
Clos Mogador,Priorat,2017,45,666,Espana,Priorato,650,Priorat Tinto,40,30
Marques de Murrieta,Dalmau Rioja,2014,45,642,Espana,Rioja,676,Rioja Tinto,40,30
Hacienda Monasterio,Reserva,2015,45,629,Espana,Ribera del Duero,5395,Ribera del Duero Tinto,50,30
Pago de Los Capellanes,Parcela El Nogal Tinto,2016,45,595,Espana,Ribera del Duero,4295,Ribera del Duero Tinto,50,30
La Rioja Alta,Gran Reserva 890,1995,45,574,Espana,Rioja,12723,Rioja Tinto,40,30
Bodegas El Nido,Clio,2019,45,550,Espana,Jumilla,473,Tinto,40,30
Muga,Aro,2015,45,529,Espana,Rioja,1694,Rioja Tinto,40,30
Remirez de Ganuza,Gran Reserva,2007,45,529,Espana,Rioja,"1,21839E+14",Rioja Tinto,40,30
Senorio de San Vicente,San Vicente Rioja,2017,45,505,Espana,Rioja,348,Rioja Tinto,40,30
Carmelo Rodero,Ribera del Duero TSM,2017,45,503,Espana,Ribera del Duero,5535,Ribera del Duero Tinto,50,30
Vina Sastre,Pago de Santa Cruz,2016,45,501,Espana,Ribera del Duero,7595,Ribera del Duero Tinto,50,30
Bodegas Valduero,Ribera Del Duero Reserva Premium 6 Anos,2011,45,500,Espana,Ribera del Duero,487,Ribera del Duero Tinto,50,30
Remirez de Ganuza,Trasnocho,2012,45,499,Espana,Rioja,11889,Rioja Tinto,40,30
Costers del Siurana,Clos de L'Obac,2005,45,493,Espana,Priorato,"9,28716E+14",Priorat Tinto,40,30
Vega Sicilia,Valbuena 5o,1996,45,488,Espana,Ribera del Duero,2904,Ribera del Duero Tinto,50,30
Arzuaga,Reserva Ribera del Duero,2017,45,477,Espana,Ribera del Duero,318,Ribera del Duero Tinto,50,30
La Rioja Alta,Gran Reserva 890,2010,45,469,Espana,Rioja,1495,Rioja Tinto,40,30
Francisco Barona,Ribera Del Duero,2018,45,462,Espana,Ribera del Duero,3585,Ribera del Duero Tinto,50,30
Vina Sastre,Pago de Santa Cruz,2015,45,420,Espana,Ribera del Duero,8295,Ribera del Duero Tinto,50,30
Bodegas Valduero,Ribera Del Duero Reserva Premium 6 Anos,2012,45,406,Espana,Ribera del Duero,590,Ribera del Duero Tinto,50,30
Juan Gil,Bruto,2018,45,384,Espana,Jumilla,377,Monastrell,50,30
Lan,Culmen Reserva Rioja,2015,45,365,Espana,Rioja,4275,Rioja Tinto,40,30
Bodegas Roda,Cirsion Rioja,2016,45,353,Espana,Rioja,17557,Rioja Tinto,40,30
Clos Mogador,Priorat,2018,45,336,Espana,Priorato,6164,Priorat Tinto,40,30
Juan Gil,Bruto,2017,45,322,Espana,Jumilla,307,Monastrell,50,30
Bodegas Mauro,VS,2017,45,318,Espana,Castilla y Leon,565,Tempranillo,40,20
Bodega Numanthia,Termanthia,2013,45,316,Espana,Toro,20711,Toro Tinto,50,30
Remirez de Ganuza,Trasnocho,2011,45,301,Espana,Rioja,1105,Rioja Tinto,40,30
Hacienda Monasterio,Reserva,2016,45,297,Espana,Ribera del Duero,5595,Ribera del Duero Tinto,50,30
R. Lopez de Heredia,Vina Tondonia Gran Reserva,1995,45,292,Espana,Rioja,1700,Rioja Tinto,40,30
Abadia Retuerta,Petit Verdot,2015,45,286,Espana,Sardon de Duero,1079,Tinto,40,30
Tomas Postigo,5o Ano Ribera del Duero Tinto,2011,45,264,Espana,Ribera del Duero,699,Ribera del Duero Tinto,50,30
Dominio del Bendito,El Titan del Bendito,2017,45,261,Espana,Toro,495,Toro Tinto,50,30
Abadia Retuerta,Petit Verdot,2014,45,249,Espana,Sardon de Duero,17698,Tinto,40,30
Sierra Cantabria,Amancio,2012,45,246,Espana,Rioja,900,Rioja Tinto,40,30
Martinet,Clos Martinet,2014,45,230,Espana,Priorato,650,Priorat Tinto,40,30
Remirez de Ganuza,Trasnocho,2006,45,229,Espana,Rioja,950,Rioja Tinto,40,30
Adama Wines,Tinto,2009,45,229,Espana,Ribera del Duero,390,Ribera del Duero Tinto,50,30
Alion,Ribera del Duero,1995,45,226,Espana,Ribera del Duero,1930,Ribera del Duero Tinto,50,30
Muga,Aro,2016,45,222,Espana,Rioja,17491,Rioja Tinto,40,30
Vega Sicilia,Valbuena 5o,1987,45,221,Espana,Ribera del Duero,3120,Ribera del Duero Tinto,50,30
Milsetentayseis,Tinto,2018,45,218,Espana,Ribera del Duero,529,Ribera del Duero Tinto,50,30
Vina Sastre,Pago de Santa Cruz,2017,45,217,Espana,Ribera del Duero,409,Ribera del Duero Tinto,50,30
Espectacle del Montsant,Tinto,2013,45,214,Espana,Montsant,15795,Montsant Tinto,40,30
Tinto Pesquera,Millenium Gran Reserva,2015,45,213,Espana,Ribera del Duero,775,Ribera del Duero Tinto,50,30
Vina Sastre,Regina Vides Ribera del Duero,2011,45,213,Espana,Ribera del Duero,1160,Ribera del Duero Tinto,50,30
Alvaro Palacios,Finca Dofi,2006,45,207,Espana,Priorato,750,Priorat Tinto,40,30
Arzuaga,Gran Reserva Ribera del Duero,2015,45,205,Espana,Ribera del Duero,8098,Ribera del Duero Tinto,50,30
Contino,Vina del Olivo,2017,45,203,Espana,Rioja,645,Rioja Tinto,40,30
Dominio de Pingus,Flor de Pingus,2019,45,201,Espana,Ribera del Duero,1185,Ribera del Duero Tinto,50,30
Ferrer Bobet,Seleccio Especial Vinyes Velles,2015,45,197,Espana,Priorato,640,Priorat Tinto,40,30
Clos Mogador,Priorat,2003,45,196,Espana,Priorato,950,Priorat Tinto,40,30
Allende,Calvario Rioja,2009,45,194,Espana,Rioja,12597,Rioja Tinto,40,30
Bodegas Valduero,Ribera del Duero Una Cepa I,2017,45,194,Espana,Ribera del Duero,265,Ribera del Duero Tinto,50,30
Matarromera,Ribera del Duero Prestigio,2015,45,190,Espana,Ribera del Duero,5401,Ribera del Duero Tinto,50,30
Vina Sastre,Regina Vides Ribera del Duero,2014,45,189,Espana,Ribera del Duero,1049,Ribera del Duero Tinto,50,30
Familia Torres,Grans Muralles,2015,45,189,Espana,Conca de Barbera,1705,Tinto,40,30
Vina Sastre,Pesus Ribera del Duero,2014,45,189,Espana,Ribera del Duero,3150,Ribera del Duero Tinto,50,30
Pazo Barrantes,Gran Vino Albarino,2019,45,188,Espana,Rias Baixas,349,Albarino,30,30
Arzuaga,Reserva Especial Ribera del Duero,2015,45,187,Espana,Ribera del Duero,515,Ribera del Duero Tinto,50,30
Tio Pepe,Cuatro Palmas Amontillado,N.V.,45,186,Espana,Jerez Amontillado,11226,Jerez,40,30
Abadia Retuerta,Pago Garduna,2016,45,186,Espana,Castilla y Leon,7185,Syrah,40,30
Belondrade,Belondrade y Lurton,2020,45,184,Espana,Rueda,389,Verdejo,30,30
Pintia,Toro,2017,45,178,Espana,Toro,5409,Toro Tinto,50,30
Bodega Contador (Benjamin Romeo),La Cueva del Contador Rioja,2017,45,174,Espana,Rioja,679,Rioja Tinto,40,30
Sierra Cantabria,Finca el Bosque,2016,45,173,Espana,Rioja,8095,Rioja Tinto,40,30
Alvear,Solera 1830 Pedro Ximenez,N.V.,45,171,Espana,Montilla-Moriles,1145,Pedro Ximenez,50,10
Bodega Contador (Benjamin Romeo),Que Bonito Cacareaba Blanco,2018,45,170,Espana,Rioja,5034,Rioja Blanco,30,30
Tomas Postigo,5o Ano Ribera del Duero Tinto,2014,45,165,Espana,Ribera del Duero,5796,Ribera del Duero Tinto,50,30
Marques de Riscal,Baron de Chirel Rioja Reserva,2016,45,163,Espana,Rioja,7362,Rioja Tinto,40,30
Ossian,Capitel,2016,45,162,Espana,Castilla y Leon,14478,Verdejo,30,30
Recaredo,Turo d'en Mota,2005,45,161,Espana,Cava,900,Cava,20,30
Sierra Cantabria,Amancio,2015,45,156,Espana,Rioja,8995,Rioja Tinto,40,30
Vina Sastre,Regina Vides Ribera del Duero,2015,45,154,Espana,Ribera del Duero,928,Ribera del Duero Tinto,50,30
Marques de Grinon,Emeritvs (Emeritus),2013,45,147,Espana,Dominio de Valdepusa,489,Tinto,40,30
Vina Sastre,Regina Vides Ribera del Duero,2016,45,144,Espana,Ribera del Duero,7055,Ribera del Duero Tinto,50,30
Recaredo,Turo d'en Mota,2006,45,142,Espana,Cava,1100,Cava,20,30
Martinet,Cami Pesseroles,2009,45,141,Espana,Priorato,1393,Priorat Tinto,40,30
Dominio del Aguila,Reserva,2018,45,141,Espana,Ribera del Duero,598,Ribera del Duero Tinto,50,30
Sierra Cantabria,Amancio,2014,45,140,Espana,Rioja,750,Rioja Tinto,40,30
Cruz de Alba,Finca Los Hoyales Ribera del Duero,2015,45,140,Espana,Ribera del Duero,570,Ribera del Duero Tinto,50,30
Artadi,Vina El Pison,2013,45,137,Espana,Vino de Espana,25347,Tempranillo,40,20
Emilio Rojo,Blanco,2017,45,134,Espana,Ribeiro,4995,D.O. Ribeiro,30,30
Vina Sastre,Pesus Ribera del Duero,2015,45,134,Espana,Ribera del Duero,2980,Ribera del Duero Tinto,50,30
Abadia Retuerta,Pago Garduna,2009,45,132,Espana,Castilla y Leon,736,Syrah,40,30
Bodegas Mas Alta,La Basseta,2013,45,132,Espana,Priorato,580,Priorat Tinto,40,30
Territorio Luthier,Territorio Luthier Reserva,2016,45,128,Espana,Ribera del Duero,540,Ribera del Duero Tinto,50,30
Alion,Ribera del Duero,2018,45,128,Espana,Ribera del Duero,7838,Ribera del Duero Tinto,50,30
Vega Sicilia,Valbuena 5o,1988,45,126,Espana,Ribera del Duero,22863,Ribera del Duero Tinto,50,30
Anima Negra,Son Negre,2011,45,121,Espana,Mallorca,2289,Tinto,40,30
Costers del Siurana,Clos de L'Obac,2010,45,121,Espana,Priorato,813,Priorat Tinto,40,30
Dominio de Es,Vinas Viejas de Soria Ribera Del Duero,2018,45,117,Espana,Ribera del Duero,1650,Ribera del Duero Tinto,50,30
Vina Sastre,Pago de Santa Cruz Gran Reserva Ribera del Duero,2014,45,115,Espana,Ribera del Duero,549,Ribera del Duero Tinto,50,30
Rafael Palacios,As Sortes Val do Bibei Godello,2020,45,115,Espana,Valdeorras,550,D.O. Valdeorras,30,30
Martinet,Cami Pesseroles,2010,45,113,Espana,Priorato,13185,Priorat Tinto,40,30
Pago de Los Capellanes,Parcela El Picon Tinto,2015,45,113,Espana,Ribera del Duero,14839,Ribera del Duero Tinto,50,30
Adama Wines,Tinto,2011,45,110,Espana,Ribera del Duero,390,Ribera del Duero Tinto,50,30
Jesus Madrazo,Seleccion Rioja,2015,45,107,Espana,Rioja,671,Rioja Tinto,40,30
Tinto Pesquera,Millenium Reserva,1996,45,106,Espana,Ribera del Duero,19945,Ribera del Duero Tinto,50,30
Bodegas Naluar & Acediano,Acediano,2015,45,104,Espana,Ribera del Duero,520,Ribera del Duero Tinto,50,30
Marques de Caceres,Gaudium,2016,45,104,Espana,Rioja,349,Rioja Tinto,40,30
Dominio de Es,Vinas Viejas de Soria Ribera Del Duero,2017,45,103,Espana,Ribera del Duero,7581,Ribera del Duero Tinto,50,30
Sierra Cantabria,Finca el Bosque,2017,45,103,Espana,Rioja,8436,Rioja Tinto,40,30
Trus,Pico de Luyas,2016,45,103,Espana,Ribera del Duero,4795,Ribera del Duero Tinto,50,30
Artadi,Grandes Anadas Rioja,2001,45,103,Espana,Rioja,39165,Rioja Tinto,40,30
Juan Gil,Bruto,2019,45,104,Espana,Jumilla,325,Monastrell,50,30
Muga,Aro,2004,45,102,Espana,Rioja,1980,Rioja Tinto,40,30
Mestres,Mas Via Gran Reserva Brut,2004,45,102,Espana,Cava,4033,Cava,20,30
Alvaro Palacios,Les Aubaguetes Priorat,2015,45,99,Espana,Priorato,3025,Priorat Tinto,40,30
Quinta de la Quietud,La Mula de la Quietud,2016,45,99,Espana,Toro,620,Toro Tinto,50,30
